product_name,product_name_2,customer_name
deal mirror,karate tugboat,6
deal mirror,margin balance,3
debtor arm,odometer control,7
debtor arm,rayon enemy,1
delete hardcover,eel decrease,1
detective atomic,sister jeep,1
detective atomic,train evening,1
difference blade,lamp height,1
dime cello,ramie canoe,1
diving health,typhoon path,1
doubt sidecar,format appendix,1
doubt sidecar,heaven Virgo,1
drain pull,skate fortnight,1
drawbridge knight,transmission pink,1
driving Edward,session beaver,1
drug consonant,opinion broker,1
elbow novel,mosque nic,1
elbow novel,psychiatrist temperature,1
elbow novel,switch expert,1
engine peer-to-peer,work fiber,2
expansion boot,spinach bee,1
expansion boot,switch expert,1
explanation vermicelli,harmonica insulation,1
explanation vermicelli,month drama,1
eyebrow crowd,ornament receipt,7
feeling hat,keyboard cry,1
fir math,lily November,1
fireplace base,ox snowman,1
flat detective,pendulum larch,1
flower governor,screwdriver bomb,1
forehead noodle,game cartoon,1
forehead noodle,office cheese,1
freckle sundial,law icon,1
freighter brick,mustard judge,3
freighter brick,shirt acoustic,1
garden river,icon tip,2
garden river,knot middle,3
garden river,law icon,2
garden river,utensil scallion,2
gear meeting,margin balance,1
gear meeting,pedestrian texture,1
geese art,icon tip,1
geese art,process streetcar,1
geese art,unit clock,1
geology overcoat,meter good-bye,1
geology overcoat,perch zebra,1
geology overcoat,ticket cultivator,1
giraffe stamp,hall swordfish,1
girl dimple,trial target,1
gold straw,rock place,1
grain dedication,hippopotamus underclothes,2
great-grandfather fold,lute grease,2
great-grandmother cello,party inventory,2
hacksaw trombone,raft dish,4
hacksaw trombone,stove effect,1
hall swordfish,salary ceiling,1
hand Kenneth,sun plier,15
hand step-uncle,utensil scallion,1
harmony almanac,month drama,1
harmony almanac,weight check,1
helicopter maid,look store,1
helicopter maid,patch cone,1
helmet bumper,sister-in-law fountain,1
honey watchmaker,suggestion sidewalk,1
humidity violet,reason shell,1
humidity violet,slash badge,1
humidity violet,sousaphone bell,1
hurricane pipe,macaroni band,1
hurricane pipe,utensil scallion,1
ice mail,island purple,4
icon tip,kilogram bobcat,1
icon tip,knot middle,3
icon tip,law icon,9
icon tip,utensil scallion,8
island purple,nic baboon,1
jail modem,keyboard cry,1
jewel able,mascara vinyl,1
jute neon,postbox volcano,1
karate tugboat,margin balance,27
karate tugboat,postbox volcano,1
karate tugboat,shirt acoustic,1
karate tugboat,sturgeon snowboarding,1
karate tugboat,work poultry,3
key rose,timbales carnation,1
keyboard cry,trade swan,1
kick tie,policeman backbone,1
kick tie,withdrawal straw,1
knot middle,law icon,4
knot middle,patch cone,1
knot middle,pedestrian texture,1
knot middle,technician novel,1
knot middle,utensil scallion,3
lamp height,samurai block,1
lamp height,system hockey,7
law icon,patch cone,1
law icon,session beaver,1
law icon,utensil scallion,6
leg pentagon,skirt stepdaughter,1
lily November,wall lake,1
liquor bay,shake violin,1
low climb,roll back,1
low climb,yellow poison,1
luttuce insurance,rake produce,2
macaroni band,string bridge,1
magazine blowgun,office cheese,1
magazine blowgun,parallelogram preface,1
magazine blowgun,transmission pink,1
mascara vinyl,step-sister dock,1
mascara vinyl,swim pamphlet,1
meter mechanic,schedule blizzard,1
microwave kamikaze,stamp hacksaw,1
microwave kamikaze,stock daughter,1
middle railway,trombone carpenter,1
month drama,weight check,1
month drama,wholesaler bulldozer,1
mosque nic,psychiatrist temperature,1
mosque nic,revolve work,1
mosque nic,train evening,1
motion range,postbox river,1
mustard judge,syrup icebreaker,1
octagon skill,perfume scene,19
opinion bow,risk insulation,1
opinion bow,swim pamphlet,1
opinion broker,spandex agenda,1
opinion broker,sun plier,37
oval porch,value freon,1
parallelogram preface,scale slice,1
parallelogram preface,shake violin,1
parallelogram preface,stamp hacksaw,1
partridge trouble,shirt flood,1
party inventory,raincoat psychology,2
patch cone,state printer,2
peen reindeer,pin jury,1
pendulum Aquarius,t-shirt hourglass,1
pin jury,sun plier,1
policeman backbone,week cormorant,1
policeman backbone,withdrawal straw,1
postbox river,size vest,2
pressure mom,sturgeon friend,1
psychiatrist temperature,revolve work,1
psychiatrist temperature,softdrink lyric,3
psychiatrist temperature,train evening,2
psychiatrist temperature,wave business,1
psychiatrist temperature,wind taste,1
raft dish,stove effect,3
rake produce,shrimp Joseph,1
reason shell,swallow hippopotamus,1
resolution pin,work fiber,1
restaurant goal,tornado wholesaler,1
revolve work,riddle whale,1
revolve work,transmission pink,1
riddle whale,softdrink lyric,1
riddle whale,train evening,2
rise doctor,sundial lift,1
risk insulation,step-sister dock,1
route stew,swim shop,1
salesman scallion,trail grandfather,1
samurai block,system hockey,1
scanner aftermath,skirt stepdaughter,1
scraper coffee,supply lunch,2
sea nickel,value freon,1
secretary rail,trade swan,1
sex quartz,shake violin,1
shake violin,stamp hacksaw,1
shake violin,suggestion sidewalk,1
shake violin,transmission pink,1
snowboarding Ronald,texture sister-in-law,1
softdrink lyric,train evening,1
sousaphone bell,train evening,1
spandex agenda,sun plier,1
stamp hacksaw,transmission pink,1
state printer,wool stop,1
stitch security,worm panties,1
submarine cave,value freon,1
supermarket foxglove,wool stop,1
sweatshop moustache,trial target,1
switch expert,system barge,1
texture sister-in-law,utensil scallion,1
tornado rain,work fiber,1
utensil scallion,year playground,1
wave business,wind taste,2
